"Date","TrueDate","CensusID","Counter","Site","Area","Type","Height_rel_MLLW_cm","ObservationType","TimeStart","TimeEnd","AreaCovered","CensusComments"
2013-08-20,2013-08-20,-1001895293,"Mark_Novak","Yachats_Natural_Bridge","A","Experimental",523,"Systematic Census","1899-12-30 05:50:00","1899-12-30 06:00:00",100,""
2013-08-20,2013-08-20,1689597060,"Mark_Novak","Yachats_Natural_Bridge","AB","Experimental",481,"Systematic Census","1899-12-30 08:05:00","1899-12-30 09:00:00",100,""
2013-08-20,2013-08-20,1981345386,"Mark_Novak","Yachats_Natural_Bridge","AC","Experimental",550,"Systematic Census","1899-12-30 09:00:00","1899-12-30 09:04:00",100,""
2013-08-20,2013-08-20,-1491065627,"Mark_Novak","Yachats_Natural_Bridge","B","Experimental",496,"Systematic Census","1899-12-30 06:00:00","1899-12-30 07:30:00",100,""
2013-08-20,2013-08-20,-124977564,"Mark_Novak","Yachats_Natural_Bridge","C","Experimental",523,"Systematic Census","1899-12-30 07:30:00","1899-12-30 07:38:00",100,""
2013-08-20,2013-08-20,-1634482455,"Mark_Novak","Yachats_Natural_Bridge","D","Experimental",569,"Systematic Census","1899-12-30 07:38:00","1899-12-30 07:41:00",100,""
2013-08-20,2013-08-20,1620371554,"Mark_Novak","Yachats_Natural_Bridge","E","Experimental",553,"Systematic Census","1899-12-30 07:44:00","1899-12-30 07:58:00",100,""
2013-08-20,2013-08-20,1086592020,"Mark_Novak","Yachats_Natural_Bridge","F","Experimental",603,"Systematic Census","1899-12-30 07:41:00","1899-12-30 07:44:00",100,""
2013-08-20,2013-08-20,-497290291,"Mark_Novak","Yachats_Natural_Bridge","G","Experimental",492,"Systematic Census","1899-12-30 07:58:00","1899-12-30 08:05:00",100,""
2013-08-20,2013-08-21,176469218,"Mark_Novak","Yachats_Natural_Bridge","AD","Experimental",562,"Systematic Census","1899-12-30 05:56:00","1899-12-30 06:22:00",100,""
2013-08-20,2013-08-21,-1890234880,"Mark_Novak","Yachats_Natural_Bridge","AE","Experimental",512,"Systematic Census","1899-12-30 06:22:00","1899-12-30 06:35:00",100,""
2013-08-20,2013-08-21,-1907763072,"Mark_Novak","Yachats_Natural_Bridge","AF","Experimental",529,"Systematic Census","1899-12-30 05:45:00","1899-12-30 05:55:00",100,""
2013-08-20,2013-08-21,-404436619,"Mark_Novak","Yachats_Natural_Bridge","AG","Experimental",204,"Systematic Census","1899-12-30 06:35:00","1899-12-30 06:55:00",100,""
2013-08-20,2013-08-21,1454222490,"Mark_Novak","Yachats_Natural_Bridge","BB","Experimental",587,"Systematic Census","1899-12-30 06:55:00","1899-12-30 07:01:00",100,""
2013-08-20,2013-08-21,470480648,"Mark_Novak","Yachats_Natural_Bridge","BC","Experimental",574,"Systematic Census","1899-12-30 07:02:00","1899-12-30 07:08:00",100,""
2013-08-20,2013-08-21,646306859,"Mark_Novak","Yachats_Natural_Bridge","BD","Experimental",491,"Systematic Census","1899-12-30 07:09:00","1899-12-30 07:11:00",100,""
2013-08-20,2013-08-21,-1580438959,"Mark_Novak","Yachats_Natural_Bridge","BE","Experimental",561,"Systematic Census","1899-12-30 07:11:00","1899-12-30 07:20:00",100,""
2013-08-20,2013-08-21,-1005733847,"Mark_Novak","Yachats_Natural_Bridge","BF","Experimental",577,"Systematic Census","1899-12-30 07:20:00","1899-12-30 07:41:00",100,""
2013-09-16,2013-09-16,-1642045165,"Mark_Novak","Yachats_Natural_Bridge","A","Experimental",523,"Systematic Census","1899-12-30 04:45:00","1899-12-30 04:49:00",100,"barnacle sheet"
2013-09-16,2013-09-16,1696926984,"Mark_Novak","Yachats_Natural_Bridge","AB","Experimental",481,"Systematic Census","1899-12-30 05:21:00","1899-12-30 05:41:00",100,"barnacle sheet w/ diatoms"
2013-09-16,2013-09-16,2030509749,"Mark_Novak","Yachats_Natural_Bridge","AC","Experimental",550,"Systematic Census","1899-12-30 05:42:00","1899-12-30 05:44:00",100,""
2013-09-16,2013-09-16,-1897656086,"Mark_Novak","Yachats_Natural_Bridge","AD","Experimental",562,"Systematic Census","1899-12-30 05:50:00","1899-12-30 06:07:00",100,"1 Pisaster"
2013-09-16,2013-09-16,1543133163,"Mark_Novak","Yachats_Natural_Bridge","AE","Experimental",512,"Systematic Census","1899-12-30 05:45:00","1899-12-30 05:50:00",100,"barnacle sheet w/ algae"
2013-09-16,2013-09-16,-787691633,"Mark_Novak","Yachats_Natural_Bridge","B","Experimental",496,"Systematic Census","1899-12-30 03:27:00","1899-12-30 04:55:00",100,"+40 Nc in crack; good 2-5mm mussel recruitment"
2013-09-16,2013-09-16,407353259,"Mark_Novak","Yachats_Natural_Bridge","C","Experimental",523,"Systematic Census","1899-12-30 03:09:00","1899-12-30 03:15:00",100,"barnacle sheet w/ diatom-covered mussels threads, large abundant limpets; Nc in mussels on edge; abundant amphipods, small 2-5 mm mussels"
2013-09-16,2013-09-16,-1262519662,"Mark_Novak","Yachats_Natural_Bridge","D","Experimental",569,"Systematic Census","1899-12-30 03:05:00","1899-12-30 03:06:00",100,"No whelks; barnacle sheet"
2013-09-16,2013-09-16,894511341,"Mark_Novak","Yachats_Natural_Bridge","E","Experimental",553,"Systematic Census","1899-12-30 03:16:00","1899-12-30 03:26:00",100,"whelks around edges; barnacle sheet"
2013-09-16,2013-09-16,-1813059612,"Mark_Novak","Yachats_Natural_Bridge","F","Experimental",603,"Systematic Census","1899-12-30 04:56:00","1899-12-30 05:01:00",100,"barnacle sheet w/ diatoms"
2013-09-16,2013-09-16,-2042737039,"Mark_Novak","Yachats_Natural_Bridge","G","Experimental",492,"Systematic Census","1899-12-30 05:13:00","1899-12-30 05:18:00",100,""
2013-09-16,2013-09-17,1366660801,"Mark_Novak","Yachats_Natural_Bridge","AF","Experimental",529,"Systematic Census","1899-12-30 03:22:00","1899-12-30 03:30:00",100,"barnacle sheet"
2013-09-16,2013-09-17,-602396130,"Mark_Novak","Yachats_Natural_Bridge","AG","Experimental",204,"Systematic Census","1899-12-30 03:30:00","1899-12-30 03:46:00",100,""
2013-09-16,2013-09-17,-1135439230,"Mark_Novak","Yachats_Natural_Bridge","BB","Experimental",587,"Systematic Census","1899-12-30 03:46:00","1899-12-30 03:51:00",100,"barnacle sheet; a few ~1cm mussels already"
2013-09-16,2013-09-17,696785047,"Mark_Novak","Yachats_Natural_Bridge","BC","Experimental",574,"Systematic Census","1899-12-30 03:52:00","1899-12-30 03:56:00",100,""
2013-09-16,2013-09-17,-765234362,"Mark_Novak","Yachats_Natural_Bridge","BD","Experimental",491,"Systematic Census","1899-12-30 03:56:00","1899-12-30 04:10:00",100,"sloughing barnacle sheet; lots of water and algae"
2013-09-16,2013-09-17,884204260,"Mark_Novak","Yachats_Natural_Bridge","BE","Experimental",561,"Systematic Census","1899-12-30 04:02:00","1899-12-30 04:10:00",100,"barnacle sheet"
2013-09-16,2013-09-17,895136699,"Mark_Novak","Yachats_Natural_Bridge","BF","Experimental",577,"Systematic Census","1899-12-30 04:10:00","1899-12-30 04:26:00",100,""
2013-10-07,2013-10-07,-1597648782,"Mark_Novak","Yachats_Natural_Bridge","A","Experimental",523,"Systematic Census","1899-12-30 19:31:00","1899-12-30 19:39:00",100,""
2013-10-07,2013-10-07,2061998941,"Mark_Novak","Yachats_Natural_Bridge","AB","Experimental",481,"Systematic Census","1899-12-30 21:16:00","1899-12-30 21:48:00",95,"very good mussel set and some Pollicipes.  Whelks eaten by oystercatchers: No: 14; Nc: 14, 11"
