Date,Site,Location,Patch,Quad,Top Left X,Top Left Y,Bottom Right X,Bottom Right Y
08.19.13,YB,Natural Bridge,A,1,74,147,40,116
08.19.13,YB,Natural Bridge,A,2,140,123,107,88
08.19.13,YB,Natural Bridge,A,3,95,114,63,81
08.19.13,YB,Natural Bridge,A,4,50,107,12,81
08.19.13,YB,Natural Bridge,A,5,140,82,107,53
08.19.13,YB,Natural Bridge,A,6,97,79,64,49
08.19.13,YB,Natural Bridge,A,7,48,72,15,44
08.19.13,YB,Natural Bridge,A,8,88,40,53,12
08.19.13,YB,Natural Bridge,A,9,45,39,10,11
08.19.13,YB,Natural Bridge,B,1,44,145,7,118
08.19.13,YB,Natural Bridge,B,2,87,121,52,94
08.19.13,YB,Natural Bridge,B,3,46,115,12,88
08.19.13,YB,Natural Bridge,B,4,117,86,78,63
08.19.13,YB,Natural Bridge,B,5,109,60,72,29
08.19.13,YB,Natural Bridge,B,6,67,58,33,31
08.19.13,YB,Natural Bridge,B,7,147,25,106,7
08.19.13,YB,Natural Bridge,B,8,78,30,43,2
08.19.13,YB,Natural Bridge,B,9,41,28,5,3
08.19.13,YB,Natural Bridge,C,1,142,142,107,116
08.19.13,YB,Natural Bridge,C,2,102,143,61,119
08.19.13,YB,Natural Bridge,C,3,46,144,12,116
08.19.13,YB,Natural Bridge,C,4,135,107,100,79
08.19.13,YB,Natural Bridge,C,5,82,105,42,86
08.19.13,YB,Natural Bridge,C,6,143,67,104,45
08.19.13,YB,Natural Bridge,C,7,63,75,23,56
08.19.13,YB,Natural Bridge,C,8,141,34,103,12
08.19.13,YB,Natural Bridge,C,9,85,47,47,23
08.19.13,YB,Natural Bridge,D,1,129,146,91,122
08.19.13,YB,Natural Bridge,D,2,68,144,34,117
08.19.13,YB,Natural Bridge,D,3,145,103,111,74
08.19.13,YB,Natural Bridge,D,4,96,101,60,75
08.19.13,YB,Natural Bridge,D,5,40,102,2,78
08.19.13,YB,Natural Bridge,D,6,146,60,114,29
08.19.13,YB,Natural Bridge,D,7,94,65,59,37
08.19.13,YB,Natural Bridge,D,8,47,57,8,34
08.19.13,YB,Natural Bridge,D,9,96,28,59,3
08.19.13,YB,Natural Bridge,E,1,140,147,103,121
08.19.13,YB,Natural Bridge,E,2,93,146,57,118
08.19.13,YB,Natural Bridge,E,3,46,145,7,122
08.19.13,YB,Natural Bridge,E,4,117,103,78,80
08.19.13,YB,Natural Bridge,E,5,53,112,15,86
08.19.13,YB,Natural Bridge,E,6,119,72,83,46
08.19.13,YB,Natural Bridge,E,7,56,78,17,55
08.19.13,YB,Natural Bridge,E,8,105,36,68,10
08.19.13,YB,Natural Bridge,E,9,45,36,10,7
08.19.13,YB,Natural Bridge,F,1,143,147,106,120
08.19.13,YB,Natural Bridge,F,2,86,137,46,116
08.19.13,YB,Natural Bridge,F,3,40,143,2,120
08.19.13,YB,Natural Bridge,F,4,143,103,108,75
08.19.13,YB,Natural Bridge,F,5,82,107,47,81
08.19.13,YB,Natural Bridge,F,6,101,67,68,38
08.19.13,YB,Natural Bridge,F,7,49,65,16,35
08.19.13,YB,Natural Bridge,F,8,132,38,97,10
08.19.13,YB,Natural Bridge,F,9,64,32,29,6
08.19.13,YB,Natural Bridge,G,1,145,137,108,109
08.19.13,YB,Natural Bridge,G,2,80,135,50,108
08.19.13,YB,Natural Bridge,G,3,143,100,106,74
08.19.13,YB,Natural Bridge,G,4,83,102,46,76
08.19.13,YB,Natural Bridge,G,5,137,69,97,44
08.19.13,YB,Natural Bridge,G,6,92,73,56,45
08.19.13,YB,Natural Bridge,G,7,44,71,7,45
08.19.13,YB,Natural Bridge,G,8,137,35,97,10
08.19.13,YB,Natural Bridge,G,9,90,37,53,12
08.19.13,YB,Natural Bridge,AB,1,122,137,84,116
08.19.13,YB,Natural Bridge,AB,2,67,142,33,117
08.19.13,YB,Natural Bridge,AB,3,142,105,103,82
08.19.13,YB,Natural Bridge,AB,4,93,104,55,79
08.19.13,YB,Natural Bridge,AB,5,49,105,12,81
08.19.13,YB,Natural Bridge,AB,6,144,62,105,39
08.19.13,YB,Natural Bridge,AB,7,94,73,57,46
08.19.13,YB,Natural Bridge,AB,8,121,34,84,9
08.19.13,YB,Natural Bridge,AB,9,47,33,8,6
08.19.13,YB,Natural Bridge,AC,1,147,146,109,124
08.19.13,YB,Natural Bridge,AC,2,87,147,50,122
08.19.13,YB,Natural Bridge,AC,3,37,143,1,119
08.19.13,YB,Natural Bridge,AC,4,91,108,53,87
08.19.13,YB,Natural Bridge,AC,5,41,104,1,84
08.19.13,YB,Natural Bridge,AC,6,143,56,103,36
08.19.13,YB,Natural Bridge,AC,7,87,76,46,59
08.19.13,YB,Natural Bridge,AC,8,140,28,101,6
08.19.13,YB,Natural Bridge,AC,9,52,33,13,11
08.19.13,YB,Natural Bridge,AF,1,138,149,103,123
08.19.13,YB,Natural Bridge,AF,2,84,144,95,118
08.19.13,YB,Natural Bridge,AF,3,38,144,1,127
08.19.13,YB,Natural Bridge,AF,4,141,79,103,54
08.19.13,YB,Natural Bridge,AF,5,80,106,42,81
08.19.13,YB,Natural Bridge,AF,6,59,73,20,49
08.19.13,YB,Natural Bridge,AF,7,138,36,100,10
08.19.13,YB,Natural Bridge,AF,8,93,41,54,18
08.19.13,YB,Natural Bridge,AF,9,49,39,12,15
08.19.13,YB,Natural Bridge,AG,1,148,144,110,119
08.19.13,YB,Natural Bridge,AG,2,101,146,62,124
08.19.13,YB,Natural Bridge,AG,3,55,146,16,125
08.19.13,YB,Natural Bridge,AG,4,136,99,96,78
08.19.13,YB,Natural Bridge,AG,5,86,108,46,89
08.19.13,YB,Natural Bridge,AG,6,45,114,5,94
08.19.13,YB,Natural Bridge,AG,7,132,36,92,17
08.19.13,YB,Natural Bridge,AG,8,81,31,38,13
08.19.13,YB,Natural Bridge,AG,9,43,54,1,38
08.20.13,YB,Natural Bridge,AD,1,76,145,42,116
08.20.13,YB,Natural Bridge,AD,2,135,107,100,80
08.20.13,YB,Natural Bridge,AD,3,94,105,57,76
08.20.13,YB,Natural Bridge,AD,4,48,103,12,78
08.20.13,YB,Natural Bridge,AD,5,137,72,105,41
08.20.13,YB,Natural Bridge,AD,6,97,70,63,41
08.20.13,YB,Natural Bridge,AD,7,52,72,16,44
08.20.13,YB,Natural Bridge,AD,8,100,34,65,8
08.20.13,YB,Natural Bridge,AD,9,50,38,12,14
08.20.13,YB,Natural Bridge,AE,1,144,147,107,122
08.20.13,YB,Natural Bridge,AE,2,96,135,62,104
08.20.13,YB,Natural Bridge,AE,3,43,147,15,110
08.20.13,YB,Natural Bridge,AE,4,141,113,105,86
08.20.13,YB,Natural Bridge,AE,5,97,101,60,73
08.20.13,YB,Natural Bridge,AE,6,52,80,20,50
08.20.13,YB,Natural Bridge,AE,7,133,77,107,44
08.20.13,YB,Natural Bridge,AE,8,90,30,55,3
08.20.13,YB,Natural Bridge,AE,9,44,32,10,3
08.20.13,YB,Natural Bridge,BB,1,147,149,110,125
08.20.13,YB,Natural Bridge,BB,2,97,148,63,119
08.20.13,YB,Natural Bridge,BB,3,55,150,16,124
08.20.13,YB,Natural Bridge,BB,4,146,114,109,90
08.20.13,YB,Natural Bridge,BB,5,47,96,10,70
08.20.13,YB,Natural Bridge,BB,6,130,68,92,45
08.20.13,YB,Natural Bridge,BB,7,75,63,39,35
08.20.13,YB,Natural Bridge,BB,8,147,24,109,10
08.20.13,YB,Natural Bridge,BB,9,99,32,60,9
08.20.13,YB,Natural Bridge,BC,1,145,145,108,117
08.20.13,YB,Natural Bridge,BC,2,93,137,54,116
08.20.13,YB,Natural Bridge,BC,3,42,147,4,122
08.20.13,YB,Natural Bridge,BC,4,111,111,76,80
08.20.13,YB,Natural Bridge,BC,5,47,99,8,74
08.20.13,YB,Natural Bridge,BC,6,130,64,93,35
08.20.13,YB,Natural Bridge,BC,7,80,70,43,44
08.20.13,YB,Natural Bridge,BC,8,128,35,96,4
08.20.13,YB,Natural Bridge,BC,9,54,34,17,9
08.20.13,YB,Natural Bridge,BD,1,146,144,108,119
08.20.13,YB,Natural Bridge,BD,2,96,144,62,118
08.20.13,YB,Natural Bridge,BD,3,42,147,3,121
08.20.13,YB,Natural Bridge,BD,4,143,100,105,73
08.20.13,YB,Natural Bridge,BD,5,93,97,51,75
08.20.13,YB,Natural Bridge,BD,6,47,103,6,80
08.20.13,YB,Natural Bridge,BD,7,144,72,110,42
08.20.13,YB,Natural Bridge,BD,8,101,63,61,39
08.20.13,YB,Natural Bridge,BD,9,50,37,10,15
08.20.13,YB,Natural Bridge,BE,1,147,145,106,126
08.20.13,YB,Natural Bridge,BE,2,77,145,37,126
08.20.13,YB,Natural Bridge,BE,3,145,113,103,94
08.20.13,YB,Natural Bridge,BE,4,41,115,2,93
08.20.13,YB,Natural Bridge,BE,5,141,84,103,60
08.20.13,YB,Natural Bridge,BE,6,95,89,56,67
08.20.13,YB,Natural Bridge,BE,7,137,39,98,16
08.20.13,YB,Natural Bridge,BE,8,54,63,15,42
08.20.13,YB,Natural Bridge,BE,9,47,31,7,12
08.20.13,YB,Natural Bridge,BF,1,142,147,105,120
08.20.13,YB,Natural Bridge,BF,2,79,133,42,108
08.20.13,YB,Natural Bridge,BF,3,119,112,88,78
08.20.13,YB,Natural Bridge,BF,4,62,101,24,77
08.20.13,YB,Natural Bridge,BF,5,111,73,76,46
08.20.13,YB,Natural Bridge,BF,6,54,67,11,45
08.20.13,YB,Natural Bridge,BF,7,149,27,108,8
08.20.13,YB,Natural Bridge,BF,8,101,29,59,12
08.20.13,YB,Natural Bridge,BF,9,36,38,1,11
