Date,Site,Location,Patch ,Quad,N.ostrina,N.canaliculata,Notes,Recorder,DataEntryBy
08.19.13,YB,Natural Bridge,A,1,0,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,A,2,0,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,A,3,1,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,A,4,0,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,A,5,1,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,A,6,0,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,A,7,0,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,A,8,0,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,A,9,2,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,B,1,0,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,B,2,1,3,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,B,3,0,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,B,4,1,3,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,B,5,0,4,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,B,6,0,1,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,B,7,0,47,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,B,8,2,18,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,B,9,4,30,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,C,1,0,1,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,C,2,0,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,C,3,0,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,C,4,0,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,C,5,0,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,C,6,0,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,C,7,0,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,C,8,0,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,C,9,0,1,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,D,1,0,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,D,2,0,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,D,3,0,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,D,4,0,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,D,5,0,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,D,6,0,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,D,7,0,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,D,8,0,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,D,9,0,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,E,1,3,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,E,2,7,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,E,3,3,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,E,4,0,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,E,5,2,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,E,6,0,0,NA,KEC,IsaacS
